date,sales
2012-10-01,214
2012-10-02,50
2012-10-03,60
2012-10-04,100
2012-10-05,212
2012-10-06,30
2012-10-07,213
2012-10-08,20
2012-10-09,213
2012-10-10,213
2012-10-11,10
2012-10-12,214
2012-10-13,200
2012-10-14,90
2012-10-15,67
2012-10-16,213
2012-10-17,200
2012-10-18,90
2012-10-19,212
2012-10-20,40
2012-10-21,212
2012-10-22,60
2012-10-23,214
2012-10-24,130
2012-10-25,214
2012-10-26,160
2012-10-27,212
2012-10-28,80
2012-10-29,212
2012-10-30,90
2012-11-01,320
2012-11-02,70
2012-11-03,320
2012-11-04,70
2012-11-05,320
2012-11-06,90
2012-11-07,317
2012-11-08,80
2012-11-09,317
2012-11-10,318
2012-11-11,179
2012-11-12,320
2012-11-13,150
2012-11-14,320
2012-11-15,260
2012-11-16,320
2012-11-17,250
2012-11-18,318
2012-11-19,240
2012-11-20,318
2012-11-21,189
2012-11-22,317
2012-11-23,189
2012-11-24,318
2012-11-25,230
2012-11-26,320
2012-11-27,285
2012-11-28,320
2012-11-29,279
2012-11-30,319
2012-12-01,389
2012-12-02,402
2012-12-03,380
2012-12-04,400
2012-12-05,320
2012-12-06,401
2012-12-07,330
2012-12-08,401
2012-12-09,260
2012-12-10,402
2012-12-11,370
2012-12-12,400
2012-12-13,350
2012-12-14,410
2012-12-15,297
2012-12-16,410
2012-12-17,289
2012-12-18,400
2012-12-19,299
2012-12-20,402
2012-12-21,340
2012-12-22,401
2012-12-23,310
2012-12-24,400
2012-12-25,243
2012-12-26,402
2012-12-27,230
2012-12-28,402
2012-12-29,265
2012-12-30,401
2013-01-01,720
2013-01-02,540
2013-01-03,720
2013-01-04,570
2013-01-05,718
2013-01-06,697
2013-01-07,719
2013-01-08,532
2013-01-09,720
2013-01-10,590
2013-01-11,720
2013-01-12,579
2013-01-13,719
2013-01-14,579
2013-01-15,719
2013-01-16,568
2013-01-17,718
2013-01-18,578
2013-01-19,720
2013-01-20,430
2013-01-21,720
2013-01-22,450
2013-01-23,721
2013-01-24,320
2013-01-25,721
2013-01-26,320
2013-01-27,722
2013-01-28,470
2013-01-29,720
2013-01-30,521
2013-01-31,720
2013-02-01,519
2013-02-02,800
2013-02-03,690
2013-02-04,800
2013-02-05,564
2013-02-06,719
2013-02-07,520
2013-02-08,718
2013-02-09,620
2013-02-10,800
2013-02-11,643
2013-02-12,800
2013-02-13,644
2013-02-14,540
2013-02-15,718
2013-02-16,530
2013-02-17,800
2013-02-18,630
2013-02-19,800
2013-02-20,620
2013-02-21,719
2013-02-22,545
2013-02-23,719
2013-02-24,520
2013-02-25,800
2013-02-26,520
2013-02-27,800
2013-02-28,487
2013-03-01,920
2013-03-02,430
2013-03-03,920
2013-03-04,640
2013-03-05,918
2013-03-06,798
2013-03-07,919
2013-03-08,832
2013-03-09,920
2013-03-10,798
2013-03-11,920
2013-03-12,670
2013-03-13,917
2013-03-14,730
2013-03-15,919
2013-03-16,678
2013-03-17,920
2013-03-18,598
2013-03-19,920
2013-03-20,870
2013-03-21,918
2013-03-22,732
2013-03-23,920
2013-03-24,630
2013-03-25,920
2013-03-26,820
2013-03-27,918
2013-03-28,756
2013-03-29,919
2013-03-30,765
2013-03-31,919
2013-04-01,876
2013-04-02,940
2013-04-03,530
2013-04-04,939
2013-04-05,520
2013-04-06,938
2013-04-07,579
2013-04-08,940
2013-04-09,630
2013-04-10,938
2013-04-11,690
2013-04-12,939
2013-04-13,610
2013-04-14,940
2013-04-15,830
2013-04-16,939
2013-04-17,840
2013-04-18,938
2013-04-19,854
2013-04-20,939
2013-04-21,732
2013-04-22,940
2013-04-23,769
2013-04-24,940
2013-04-25,710
2013-04-26,939
2013-04-27,620
2013-04-28,939
2013-04-29,630
2013-04-30,940
2013-05-01,690
2013-05-02,940
2013-05-03,520
2013-05-04,939
2013-05-05,560
2013-05-06,938
2013-05-07,598
2013-05-08,940
2013-05-09,590
2013-05-10,938
2013-05-11,630
2013-05-12,939
2013-05-13,630
2013-05-14,940
2013-05-15,670
2013-05-16,939
2013-05-17,730
2013-05-18,938
2013-05-19,702
2013-05-20,939
2013-05-21,780
2013-05-22,940
2013-05-23,620
2013-05-24,940
2013-05-25,320
2013-05-26,939
2013-05-27,540
2013-05-28,939
2013-05-29,280
2013-05-30,940
2013-05-31,720
2013-06-01,954
2013-06-02,690
2013-06-03,954
2013-06-04,672
2013-06-05,955
2013-06-06,820
2013-06-07,955
2013-06-08,890
2013-06-09,953
2013-06-10,768
2013-06-11,954
2013-06-12,458
2013-06-13,954
2013-06-14,678
2013-06-15,955
2013-06-16,439
2013-06-17,954
2013-06-18,679
2013-06-19,954
2013-06-20,689
2013-06-21,954
2013-06-22,678
2013-06-23,955
2013-06-24,546
2013-06-25,954
2013-06-26,356
2013-06-27,954
2013-06-28,234
2013-06-29,955
2013-06-30,124
2013-07-01,965
2013-07-02,90
2013-07-03,965
2013-07-04,678
2013-07-05,964
2013-07-06,40
2013-07-07,966
2013-07-08,36
2013-07-09,965
2013-07-10,27
2013-07-11,965
2013-07-12,230
2013-07-13,966
2013-07-14,720
2013-07-15,964
2013-07-16,845
2013-07-17,965
2013-07-18,400
2013-07-19,965
2013-07-20,560
2013-07-21,964
2013-07-22,348
2013-07-23,966
2013-07-24,654
2013-07-25,965
2013-07-26,678
2013-07-27,966
2013-07-28,876
2013-07-29,965
2013-07-30,40
2013-07-31,876
2013-08-01,30
2013-08-02,832
2013-08-03,189
2013-08-04,720
2013-08-05,45
2013-08-06,798
2013-08-07,309
2013-08-08,830
2013-08-09,235
2013-08-10,898
2013-08-11,40
2013-08-12,760
2013-08-13,10
2013-08-14,740
2013-08-15,650
2013-08-16,720
2013-08-17,320
2013-08-18,798
2013-08-19,120
2013-08-20,832
2013-08-21,30
2013-08-22,732
2013-08-23,80
2013-08-24,789
2013-08-25,40
2013-08-26,789
2013-08-27,320
2013-08-28,897
2013-08-29,432
2013-08-30,821
2013-08-31,670
2013-09-01,798
2013-09-02,730
2013-09-03,678
2013-09-04,568
2013-09-05,698
2013-09-06,589
2013-09-07,672
2013-09-08,430
2013-09-09,792
2013-09-10,198
2013-09-11,783
2013-09-12,978
2013-09-13,60
2013-09-14,977
2013-09-15,84
2013-09-16,977
2013-09-17,67
2013-09-18,978
